candle_date_time_kst,opening_price,trade_price,high_price,change_rate,market,candle_date_time_utc,prev_closing_price,candle_acc_trade_volume,change_price,low_price,candle_acc_trade_price,timestamp
2025-11-02T09:00:00,3732.00000000,3772.00000000,3793.00000000,0.0107181136,KRW-XRP,2025-11-02T00:00:00,3732.00000000,21883992.31501275,40.00000000,3719.00000000,82107040976.76238925,1762088882725,
2025-11-01T09:00:00,3761.00000000,3732.00000000,3762.00000000,-0.0071827614,KRW-XRP,2025-11-01T00:00:00,3759.00000000,32789309.30844253,-27.00000000,3695.00000000,122324883657.30821937,1762041600002,
2025-10-31T09:00:00,3702.00000000,3759.00000000,3811.00000000,0.0153970827,KRW-XRP,2025-10-31T00:00:00,3702.00000000,58134128.56818649,57.00000000,3690.00000000,217646068027.61898070,1761955199882,
2025-10-30T09:00:00,3813.00000000,3702.00000000,3862.00000000,-0.0293654955,KRW-XRP,2025-10-30T00:00:00,3814.00000000,127440358.71526130,-112.00000000,3623.00000000,478896879303.75420931,1761868799647,
2025-10-29T09:00:00,3879.00000000,3814.00000000,3942.00000000,-0.0167568961,KRW-XRP,2025-10-29T00:00:00,3879.00000000,82985817.59663078,-65.00000000,3790.00000000,322692127199.67770302,1761782399843,
2025-10-28T09:00:00,3896.00000000,3879.00000000,3964.00000000,-0.0046189376,KRW-XRP,2025-10-28T00:00:00,3897.00000000,80322565.04897318,-18.00000000,3845.00000000,313680433392.52067161,1761695999907,
2025-10-27T09:00:00,3916.00000000,3897.00000000,3970.00000000,-0.0048518897,KRW-XRP,2025-10-27T00:00:00,3916.00000000,99216174.70482208,-19.00000000,3845.00000000,387412041797.49634441,1761609599997,
2025-10-26T09:00:00,3870.00000000,3916.00000000,3955.00000000,0.0118863049,KRW-XRP,2025-10-26T00:00:00,3870.00000000,87404535.49936636,46.00000000,3859.00000000,341640694554.82748680,1761523199953,
2025-10-25T09:00:00,3744.00000000,3870.00000000,3899.00000000,0.0342063068,KRW-XRP,2025-10-25T00:00:00,3742.00000000,81993517.16592642,128.00000000,3735.00000000,313273813573.22540708,1761436799871,
2025-10-24T09:00:00,3602.00000000,3742.00000000,3754.00000000,0.0394444444,KRW-XRP,2025-10-24T00:00:00,3600.00000000,88833474.09377578,142.00000000,3592.00000000,327753036718.27305862,1761350399958,
2025-10-23T09:00:00,3584.00000000,3600.00000000,3638.00000000,0.0047446274,KRW-XRP,2025-10-23T00:00:00,3583.00000000,46317514.97589472,17.00000000,3576.00000000,166985228127.92085017,1761263999959,
